country,currency,direction,channel,n_obs,status,best_degree,r2,avg_margin,recommended_margin,base_gp_eur,optimal_gp_eur,gp_uplift_abs,gp_uplift_pct,bootstrap_mean_margin,bootstrap_std_margin
AU,JPY,BUY,Airport,1095,ok,3,0.03755061556697237,0.10918095020302201,0.10843698151892438,130239.41346476528,120.07043620705046,-130119.34302855823,-0.9990780791082146,0.11265437716112942,0.014743679013371582
AU,JPY,BUY,High Street,1095,ok,3,0.060223558828719215,0.09881651553087493,0.0742446715282997,87362.74114994882,92.11449683194763,-87270.62665311688,-0.9989456088989488,0.07730672649737416,0.008942344801123625
AU,JPY,SELL,Airport,1095,ok,3,0.014717622068292857,0.08903469920556431,0.09770857521831558,108347.73291944744,104.36193478995807,-108243.3709846575,-0.9990367870930207,0.09854513131521672,0.004333699374556979
AU,JPY,SELL,High Street,1095,ok,3,0.09557676626956213,0.07943683405552233,0.06,72323.2648206056,71.05284824678841,-72252.21197235881,-0.9990175658078624,0.06737871914652381,0.013027124722079494
AU,USD,BUY,Airport,1095,ok,3,0.019882773345977545,0.1114638293885031,0.087157804661385,409306.759303297,408.34124594184954,-408898.4180573551,-0.9990023588991374,0.11030337555514266,0.022826546042511858
AU,USD,BUY,High Street,1095,ok,3,0.02910626253831239,0.10196790572199659,0.1215383747590618,277396.11511064146,273.4599758270446,-277122.65513481444,-0.9990141895977239,0.11545491797641276,0.00950643225467457
AU,USD,SELL,Airport,1095,ok,3,0.016091308639634816,0.0920039956076067,0.1164543464414213,328665.09906291834,420.71974811133697,-328244.379314807,-0.9987199135250111,0.11366477568020335,0.005271227285367252
AU,USD,SELL,High Street,1095,ok,3,0.049483507065139154,0.08200668541961237,0.1065974669671172,220793.142256103,264.2639965607632,-220528.87825954222,-0.9988031150158901,0.10269284175141856,0.007357189631383302
ES,AUD,BUY,Airport,1095,ok,3,0.030661680703373717,0.1076400310529751,0.1333281913412437,58324.189786920775,60.5019244220135,-58263.68786249876,-0.9989626615535844,0.12393104584724736,0.014464973246349763
ES,AUD,BUY,High Street,1095,ok,3,0.046566207229732814,0.09777938209544561,0.0768037230997861,41477.34974205613,38.95506250060381,-41438.39467955553,-0.999060811195921,0.09205945923734468,0.016245219714357145
ES,AUD,SELL,Airport,1095,ok,3,0.013908674066479443,0.0881983983437453,0.110116114626705,47748.19357954184,55.67501580453747,-47692.5185637373,-0.9988339869714277,0.10881070004396053,0.001979835314648466
ES,AUD,SELL,High Street,1095,ok,3,0.06608036371765613,0.07832784096851254,0.08386882397765255,32821.03790353074,30.569243016738056,-32790.468660514,-0.999068608277819,0.08058998862671907,0.007698205720523471
ES,EUR,BUY,Airport,1095,ok,3,0.014415849066258701,0.10956067957213046,0.12253111213453921,473692.50957161817,456.14329724869765,-473236.3662743695,-0.999037047688043,0.11063467902633754,0.018752597410496653
ES,EUR,BUY,High Street,1095,ok,3,0.06588258788436108,0.09991316288489308,0.0737587778744443,337034.4792947836,396.8642305860378,-336637.61506419757,-0.9988224818083407,0.08127587062816871,0.015675157432817426
ES,EUR,SELL,Airport,1095,ok,3,0.02916496491487408,0.09015331499222255,0.115476457150014,391799.5691817083,368.8137547000708,-391430.75542700826,-0.9990586672786028,0.1047653685549309,0.009465981666247443
ES,EUR,SELL,High Street,1095,ok,3,0.08143344795862617,0.07992678731579382,0.06,271044.9997175033,272.9861850138118,-270772.0135324895,-0.9989928381438568,0.06833789718918779,0.01571610904256961
ES,GBP,BUY,Airport,1095,ok,3,0.030315891603523992,0.11264637680145503,0.1389779222026102,246190.75362602563,256.26197036924304,-245934.4916556564,-0.998959091815615,0.12594032193697338,0.01811645609381972
ES,GBP,BUY,High Street,1095,ok,3,0.07484923228313012,0.1030229010249251,0.0822601157763178,175167.51832357078,193.61522310340646,-174973.90310046737,-0.9988946853563013,0.08686435734762778,0.01315619816047931
ES,GBP,SELL,Airport,1095,ok,3,0.004039188694784923,0.0930993572002534,0.11384212220944515,202213.0505840703,203.38292400606434,-202009.66766006424,-0.9989942146492592,0.1108000288799731,0.004473944440187087
ES,GBP,SELL,High Street,1095,ok,3,0.061542030940164194,0.08332290366797586,0.0601530735192485,142097.3042337728,136.13347338855942,-141961.17076038424,-0.9990419700491672,0.078352276550909,0.019567406006287532
ES,JPY,BUY,Airport,1095,ok,3,0.024813605532370775,0.10887667367138529,0.1335256075619573,118363.54525955234,122.88087813581744,-118240.66438141651,-0.9989618350999342,0.12642167089900272,0.009610580773837108
ES,JPY,BUY,High Street,1095,ok,3,0.06608337744679715,0.09947869185347095,0.0737028378856772,81671.65488230292,82.37789166796613,-81589.27699063494,-0.9989913527308014,0.08952860514736492,0.022321614013926294
ES,JPY,SELL,Airport,1095,ok,3,0.02716534686422023,0.08888537021231904,0.1146716492131444,96083.36449182336,134.55765854734625,-95948.80683327602,-0.9985995738257188,0.11295016758778367,0.0022674969548190584
ES,JPY,SELL,High Street,1095,ok,3,0.08259264958439794,0.07919050734842746,0.06,67425.98125611371,63.8827690205436,-67362.09848709316,-0.9990525496577071,0.0722353760374431,0.017278160643605548
ES,USD,BUY,Airport,1095,ok,3,0.020119341421930947,0.11173301534689235,0.1346629759942265,301423.44935395947,298.78443104815193,-301124.6649229113,-0.9990087551858075,0.12621748278216408,0.011638135763068666
ES,USD,BUY,High Street,1095,ok,3,0.07186710031372878,0.10198225218009824,0.0804107973347551,213117.26049718945,220.0912718667149,-212897.16922532272,-0.9989672761776627,0.08425583818877536,0.00941774109977595
ES,USD,SELL,Airport,1095,ok,3,0.012576066411247089,0.09200579331209918,0.1138961443138766,249467.24049417465,265.0872984094405,-249202.15319576522,-0.9989373863362407,0.10946275700335949,0.0060486646267569714
ES,USD,SELL,High Street,1095,ok,3,0.06458511988191096,0.0816407465315471,0.06,174157.57668756758,189.44198529768923,-173968.1347022699,-0.9989122380495823,0.06813696512538779,0.015978576170082196
SG,AUD,BUY,Airport,1095,ok,3,0.011531537895156152,0.10794459342693018,0.1304331881351133,71362.67831191499,82.06955016704757,-71280.60876174795,-0.9988499653865521,0.12847635330320162,0.0037456646081837973
SG,AUD,BUY,High Street,1095,ok,3,0.05051004158496797,0.09800707763905744,0.1210526507499022,47177.11834926972,51.942895282735066,-47125.17545398698,-0.9988989811777357,0.11722460170137776,0.010676588150817562
SG,AUD,SELL,Airport,1095,ok,3,0.0034901452401274735,0.08819402594653775,0.10737076848994671,58118.66963149081,59.40438224289524,-58059.26524924792,-0.9989778778038183,0.10680348952573433,0.0053751967900579406
SG,AUD,SELL,High Street,1095,ok,3,0.07158088912854166,0.07781303800010617,0.08132818494927944,37896.84759383791,34.88805750948012,-37861.95953632843,-0.9990793942049377,0.07663804543379787,0.01198972113215136
SG,EUR,BUY,Airport,1095,ok,3,0.03150533412862544,0.10989299211599224,0.087478048997463,289398.2461550525,271.27171829538923,-289126.9744367571,-0.9990626352374297,0.10314517693378572,0.016190834188967166
SG,EUR,BUY,High Street,1095,ok,3,0.05730244609026469,0.09991305703121348,0.0765645645249519,192115.96042422776,194.5533453689125,-191921.40707885884,-0.9989873129492245,0.09041464109083959,0.01769049240055213
SG,EUR,SELL,Airport,1095,ok,3,0.010460360596865503,0.08967018512370732,0.10282541558043895,238027.8124837709,240.64987810310538,-237787.16260566778,-0.9989889842048626,0.09812288466352136,0.013035841867281872
SG,EUR,SELL,High Street,1095,ok,3,0.056284327032056325,0.08017213094322877,0.1040901528968312,154365.94146519905,168.56083409920458,-154197.38063109983,-0.9989080438826125,0.09781184078889563,0.012003126619171365
SG,GBP,BUY,Airport,1095,ok,3,0.03283184544751694,0.11298035142332619,0.12116481762399693,223963.45913837978,206.0992441867034,-223757.35989419307,-0.9990797639714103,0.1153906580987863,0.01718976377737982
SG,GBP,BUY,High Street,1095,ok,3,0.05878672844326449,0.1035351737675286,0.08842710378785003,149405.24773271152,139.52807514096634,-149265.71965757056,-0.9990661099442063,0.1020375210353773,0.018155170459403385
SG,GBP,SELL,Airport,1095,ok,3,0.004656972620056932,0.0929430572494934,0.1166310995546115,185565.19302687168,196.7691047739375,-185368.42392209775,-0.9989396227731919,0.11291748008342044,0.004588167207448718
SG,GBP,SELL,High Street,1095,ok,3,0.066517734552626,0.08281506728869419,0.08572708628908209,119318.30124926426,109.94732360069551,-119208.35392566357,-0.9990785376388237,0.07902611118233138,0.012643216188812974
SG,JPY,BUY,Airport,1095,ok,3,0.015263047677519737,0.10887864503115509,0.1295031135967457,291415.08224238514,284.6974934782645,-291130.3847489069,-0.9990230516166577,0.11899118510955532,0.015527597243963739
SG,JPY,BUY,High Street,1095,ok,3,0.060772768669837385,0.09883031950242581,0.0928728469077224,188570.10916957114,175.3820964554912,-188394.72707311565,-0.9990699369203961,0.10361188274149026,0.015259089321762564
SG,JPY,SELL,Airport,1095,ok,3,0.01979544083910212,0.0890268032139164,0.1154888982046592,234633.82688620576,290.27381010107695,-234343.55307610467,-0.9987628646135416,0.11295718228768191,0.0044073949987922315
SG,JPY,SELL,High Street,1095,ok,3,0.0966556091169698,0.07889704525344472,0.06575492465862307,153336.70862639858,144.1375142840836,-153192.5711121145,-0.9990599934250887,0.0802157695870306,0.018632204693889057
SG,USD,BUY,Airport,1095,ok,3,0.016338999240793628,0.11199800821292671,0.13120561115047677,599508.8017575785,593.4436348601137,-598915.3581227184,-0.9990101168938299,0.11829701382906592,0.019400493729114825
SG,USD,BUY,High Street,1095,ok,3,0.07004889633184208,0.10176257856998444,0.0786128534352975,393593.96993171,439.11755715278,-393154.85237455723,-0.9988843387076561,0.08175577081819937,0.006727616070486099
SG,USD,SELL,Airport,1095,ok,3,0.0096847001277095,0.09204583141375283,0.10585447372080367,486873.55458866886,479.09475347293,-486394.4598351959,-0.9990159770458724,0.10658251042723002,0.007346610762810353
SG,USD,SELL,High Street,1095,ok,3,0.05078026596643215,0.08242265222717349,0.09494731099136194,316870.80034200323,293.8042288730379,-316576.9961131302,-0.9990727948786826,0.08788077661656787,0.018600663492440408
UK,AUD,BUY,Airport,1095,ok,3,0.017118566059368456,0.10806352961382698,0.1284655035032326,78447.67893418839,79.06848203248845,-78368.6104521559,-0.9989920864057836,0.12395399362633576,0.009188925922134966
UK,AUD,BUY,High Street,1095,ok,3,0.04915190809062997,0.09788955368795026,0.0740528459887195,52947.4302913312,51.56899132442592,-52895.86130000677,-0.9990260341051364,0.08415067108940712,0.012579173941812908
UK,AUD,SELL,Airport,1095,ok,3,0.020382269537467246,0.08804139634189313,0.1097771912528606,62821.5170384059,60.89916427973381,-62760.61787412617,-0.9990306002282228,0.1044178383479779,0.006806114205032677
UK,AUD,SELL,High Street,1095,ok,3,0.0699904636854134,0.0780216495940619,0.08690035060148246,42429.203343780835,39.37539631503534,-42389.8279474658,-0.9990719741778794,0.07501299359224584,0.01415522093973241
UK,EUR,BUY,Airport,1095,ok,3,0.016837940265322815,0.11018127971648638,0.11873118378827012,401270.0001854408,374.64612988564875,-400895.3540555552,-0.9990663490175878,0.12068559957724456,0.01029932445070191
UK,EUR,BUY,High Street,1095,ok,3,0.047702329914325436,0.1001174327926982,0.09931484010686409,273441.51944211894,252.66503459718516,-273188.8544075218,-0.9990759814562445,0.09962180894649184,0.012051410213263124
UK,EUR,SELL,Airport,1095,ok,3,0.015516807794185294,0.09017620464066962,0.10157123216060317,322977.97633073723,307.57305642171013,-322670.4032743155,-0.9990476965026657,0.10551647319241673,0.0077372221973393855
UK,EUR,SELL,High Street,1095,ok,3,0.04476431840877648,0.07976934823057023,0.09162724837833114,217259.470095287,206.76882891698705,-217052.70126637002,-0.999048286232005,0.08506463597820262,0.01416455401413705
UK,GBP,BUY,Airport,1095,ok,3,0.023720666548401992,0.11313291206900875,0.0915599231377798,402965.9803657796,427.0913836508275,-402538.88898212876,-0.9989401304217712,0.10139157781806546,0.016332912754987862
UK,GBP,BUY,High Street,1095,ok,3,0.07513058010415663,0.1026366388529011,0.0783490034684269,277909.3594300862,298.6046166450686,-277610.75481344113,-0.9989255323489017,0.09462543975451702,0.0219430544235364
UK,GBP,SELL,Airport,1095,ok,3,0.03181645829394464,0.09296170004979294,0.1122019982089558,333022.1756976443,342.51655647677654,-332679.65914116753,-0.9989714902445783,0.10885943737300954,0.009857860509138299
UK,GBP,SELL,High Street,1095,ok,3,0.049368516980275334,0.08316955195708677,0.1063565107224603,223819.2166384823,216.1325680918178,-223603.08407039047,-0.9990343431125446,0.09558816310731436,0.0133130111589808
UK,JPY,BUY,Airport,1095,ok,3,0.01854545143560815,0.10909523568145027,0.1320348776953527,157598.72824018085,167.72885991074017,-157430.9993802701,-0.9989357219960867,0.12957686222500392,0.005377435758514085
UK,JPY,BUY,High Street,1095,ok,3,0.06857086420745695,0.09891195314880877,0.1205609270880802,106564.68905588042,122.72228571573716,-106441.96677016468,-0.9988483775741945,0.11566982245742109,0.013122949530438358
UK,JPY,SELL,Airport,1095,ok,3,0.023723204828005162,0.0888474070984558,0.09711775782028967,128987.29290346935,124.03923286852746,-128863.25367060082,-0.9990383608332539,0.08572698427342193,0.014895600204782216
UK,JPY,SELL,High Street,1095,ok,3,0.04488348777474982,0.07861616585454151,0.08487423111270288,86087.96619273286,80.24876833208795,-86007.71742440076,-0.999067828270534,0.08728456624727748,0.0077117625188338965
UK,USD,BUY,Airport,1095,ok,3,0.014677360436676001,0.11187703635467097,0.11901016596604105,562296.8613574702,524.1702841422419,-561772.6910733279,-0.9990678050685241,0.12484957381052773,0.008687664041047809
UK,USD,BUY,High Street,1095,ok,3,0.05223326641629744,0.10192054772008335,0.1271237173703744,386404.40471919655,385.157373795363,-386019.2473454012,-0.9990032272689147,0.10561641355673766,0.021272061271706076
UK,USD,SELL,Airport,1095,ok,3,0.01770458273597353,0.09184271936887602,0.10238564059010047,463446.66775851336,444.725568669367,-463001.942189844,-0.9990403953688559,0.09972354663644378,0.01225825349966566
UK,USD,SELL,High Street,1095,ok,3,0.06431115660586928,0.08198292441777819,0.1043570300639119,308453.7004654903,296.02368547965796,-308157.67678001063,-0.9990402978306536,0.0872335643039736,0.019234722006285714
